12/Nov/2017:22:47:10 +0000 127.0.0.1 "GET /sw.js HTTP/1.0" 200 - 5.714 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:17 +0000 127.0.0.1 "GET / HTTP/1.0" 200 - 0.557 ms "-" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:22:47:17 +0000 127.0.0.1 "GET /images/0.svg HTTP/1.0" 200 - 50.609 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:22:47:17 +0000 127.0.0.1 "GET /models/model.js HTTP/1.0" 200 - 48.691 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:22:47:17 +0000 127.0.0.1 "GET /styles/style.css HTTP/1.0" 200 - 20.947 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:22:47:17 +0000 127.0.0.1 "GET /styles/toastr.min.css HTTP/1.0" 200 - 24.703 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:22:47:17 +0000 127.0.0.1 "GET /js/concat.js HTTP/1.0" 200 - 65.896 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /sw.js HTTP/1.0" 200 - 1.776 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /models/model.js HTTP/1.0" 304 - 16.977 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /js/concat.js HTTP/1.0" 304 - 22.781 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
